action_day,scenario,mark,fair,pfc_usd,coc_usd,net_profit_usd
57,B-2,0.9370279146141215,0.41871921182266014,10363661.740558289,278064.79092156456,10085596.949636724
57,B-3,0.9370279146141215,0.41871921182266014,10363661.740558289,307935602.87311333,-297571941.13255507
58,B-2,0.9321839080459771,0.41871921182266014,10266781.6091954,275604.0355849472,9991177.573610453
58,B-3,0.9321839080459771,0.41871921182266014,10266781.6091954,307933142.1177767,-297666360.5085813
59,B-2,0.9273399014778325,0.41871921182266014,10169901.477832511,273143.2802483298,9896758.197584182
59,B-3,0.9273399014778325,0.41871921182266014,10169901.477832511,307930681.3624401,-297760779.8846076
60,B-2,0.922495894909688,0.41871921182266014,10073021.346469618,270682.5249117124,9802338.821557906
60,B-3,0.922495894909688,0.41871921182266014,10073021.346469618,307928220.60710347,-297855199.2606338
61,B-2,0.9176518883415435,0.41871921182266014,9976141.21510673,268221.769575095,9707919.445531635
61,B-3,0.9176518883415435,0.41871921182266014,9976141.21510673,307925759.8517669,-297949618.63666016
62,B-2,0.912807881773399,0.41871921182266014,9879261.08374384,265761.01423847757,9613500.069505364
62,B-3,0.912807881773399,0.41871921182266014,9879261.08374384,307923299.09643024,-298044038.0126864
63,B-2,0.9079638752052546,0.41871921182266014,9782380.952380951,263300.2589018602,9519080.69347909
63,B-3,0.9079638752052546,0.41871921182266014,9782380.952380951,307920838.3410936,-298138457.38871264
64,B-2,0.90311986863711,0.41871921182266014,9685500.821018063,260839.50356524283,9424661.31745282
64,B-3,0.90311986863711,0.41871921182266014,9685500.821018063,307918377.585757,-298232876.764739
65,B-2,0.8982758620689655,0.41871921182266014,9588620.68965517,258378.74822862534,9330241.941426545
65,B-3,0.8982758620689655,0.41871921182266014,9588620.68965517,307915916.8304204,-298327296.1407652
66,B-2,0.893431855500821,0.41871921182266014,9491740.55829228,255917.99289200798,9235822.565400273
66,B-3,0.893431855500821,0.41871921182266014,9491740.55829228,307913456.0750838,-298421715.5167915
67,B-2,0.8885878489326765,0.41871921182266014,9394860.426929392,253457.2375553906,9141403.189374002
67,B-3,0.8885878489326765,0.41871921182266014,9394860.426929392,307910995.31974715,-298516134.89281774
